LAC,CI,longitude,latitude
6181.0,37203.0,121.14597,31.17967
6181.0,33537.0,121.225013,31.243593
6298.0,58579.0,121.43297,30.98405
6151.0,38675.0,121.316451,31.196141
6391.0,47505.0,121.517451,31.338981
6243.0,54403.0,121.445424,31.194791
6273.0,61682.0,121.49528,31.401101
6255.0,4211.0,121.41594,31.289074
6212.0,5747.0,121.320451,31.242421
6169.0,37841.0,121.391733,31.254291
6150.0,4657.0,121.384262,31.151431
6274.0,4913.0,121.303618,31.437664
6210.0,33363.0,121.2891,31.12192
6212.0,20867.0,121.283404,31.223768
6182.0,14787.0,121.162901,31.287531
6158.0,13506.0,121.23078,31.007
6163.0,28689.0,121.281961,31.342766
6170.0,54722.0,121.09011,30.93121
6166.0,9203.0,121.357964,31.233411
6155.0,58561.0,121.525538,31.238113
6175.0,37475.0,121.086658,30.970003
6351.0,58689.0,121.86486,30.92916
6163.0,9411.0,121.306244,31.319625
6236.0,53537.0,121.513036,30.91963
6239.0,49633.0,121.714411,31.028171
6179.0,10578.0,,
6283.0,54049.0,121.253454,31.381715
6151.0,23202.0,121.307841,31.192521
6165.0,38898.0,121.320401,31.095581
6152.0,46755.0,121.296681,31.191421
6157.0,53907.0,121.525171,31.209272
6151.0,23122.0,121.309671,31.198531
6361.0,60450.0,121.397761,31.257251
6338.0,63459.0,121.599721,31.208571
6338.0,63458.0,121.599721,31.208571
6158.0,13523.0,121.237546,31.016892
6158.0,13522.0,121.237546,31.016892
6158.0,13521.0,121.237546,31.016892
6391.0,47715.0,121.504541,31.329231
6146.0,53409.0,121.33591,31.046204
6167.0,577.0,121.39323,31.189311
6181.0,29315.0,121.21858,31.20597
6181.0,29314.0,121.21858,31.20597
6270.0,50291.0,121.477725,31.398874
6218.0,61762.0,121.486405,31.159465
6262.0,55762.0,121.432831,31.161661
6173.0,50019.0,121.17395,30.82855
6173.0,50163.0,121.23888,30.78909
6270.0,50290.0,121.477725,31.398874
6392.0,51457.0,121.510281,31.325331
6324.0,62993.0,121.435591,31.279971
6282.0,27665.0,121.57743,31.249704
6180.0,52626.0,121.398441,31.210851
6282.0,27618.0,121.54,31.23774
6346.0,17122.0,121.301857,31.363746
6318.0,57681.0,121.553845,31.158342
6282.0,25363.0,121.539775,31.245469
6329.0,61730.0,121.510523,31.228254
6216.0,60610.0,121.52351,31.14968
6171.0,57491.0,121.22413,30.90502
6334.0,40897.0,121.63185,31.199797
6153.0,60257.0,121.49693,31.2637
6216.0,60611.0,121.52351,31.14968
6282.0,25362.0,121.539775,31.245469
6329.0,61731.0,121.510523,31.228254
6282.0,24593.0,121.53307,31.24392
6243.0,54418.0,121.450679,31.192496
6209.0,58642.0,121.450731,31.220793
6243.0,54419.0,121.450679,31.192496
6303.0,25617.0,121.545172,31.365069
6273.0,62065.0,121.497405,31.388363
6265.0,62627.0,121.451354,31.162059
6265.0,62626.0,121.451354,31.162059
6149.0,31602.0,121.333801,31.166601
6304.0,61875.0,121.61919,31.31495
6244.0,64561.0,121.421081,31.181901
6211.0,13219.0,121.226921,31.179781
6211.0,13218.0,121.226921,31.179781
6211.0,13217.0,121.226921,31.179781
6231.0,49507.0,121.41877,31.23324
6231.0,49506.0,121.41877,31.23324
6341.0,8019.0,121.569163,31.54775
6231.0,49505.0,121.41877,31.23324
6182.0,15217.0,121.159391,31.290181
6339.0,42097.0,121.618321,31.259943
6339.0,42098.0,121.618321,31.259943
6215.0,17121.0,121.280721,31.214609
6215.0,17123.0,121.280721,31.214609
6215.0,17057.0,121.280721,31.214609
6215.0,17058.0,121.280721,31.214609
6215.0,17059.0,121.280721,31.214609
6243.0,56177.0,121.453191,31.184331
6243.0,56180.0,121.453191,31.184331
6243.0,56179.0,121.453191,31.184331
6145.0,49475.0,121.417206,31.094756
6296.0,54051.0,121.44923,30.92486
6145.0,49474.0,121.417206,31.094756
6252.0,1841.0,121.383571,31.114471
6152.0,42730.0,121.296971,31.194811
6152.0,42729.0,121.296971,31.194811
6152.0,42727.0,121.296971,31.194811
6357.0,8337.0,121.67486,31.42285
6170.0,57203.0,121.05565,30.95098
6334.0,39841.0,121.624811,31.209281
6218.0,61586.0,121.483681,31.149491
6308.0,58867.0,121.584871,31.304571
6304.0,64610.0,121.618774,31.342138
6265.0,63747.0,121.453201,31.166211
6265.0,63745.0,121.453201,31.166211
6169.0,1809.0,121.367902,31.254925
6214.0,61393.0,,
6265.0,62689.0,121.448586,31.167409
6151.0,27588.0,121.311631,31.196611
6305.0,60289.0,121.529111,31.269961
6272.0,57794.0,121.46064,31.32771
6165.0,34066.0,121.266397,31.10064
6165.0,34067.0,121.266397,31.10064
6165.0,34065.0,121.266397,31.10064
6224.0,5058.0,121.21339,31.00848
6215.0,38945.0,,
6272.0,60929.0,121.484991,31.344481
6147.0,8305.0,121.2177,31.04645
6147.0,9889.0,121.225031,31.064641
6147.0,10099.0,121.217921,31.056661
6173.0,50562.0,121.284748,30.805834
6170.0,54691.0,121.162527,30.923417
6170.0,53905.0,121.17336,30.94989
6147.0,10053.0,121.210681,31.051981
6147.0,10065.0,121.232231,31.060431
6147.0,8225.0,121.225888,31.053919
6147.0,8226.0,121.225888,31.053919
6147.0,8210.0,121.225888,31.053919
6147.0,8211.0,121.225888,31.053919
6147.0,8579.0,121.196136,31.061286
6318.0,58066.0,121.532651,31.154741
6318.0,58081.0,121.532651,31.154741
6334.0,40914.0,121.582341,31.170391
6318.0,58067.0,121.532651,31.154741
6157.0,55841.0,121.523051,31.204601
6235.0,53329.0,121.42105,31.062465
6391.0,46881.0,121.515771,31.332671
6185.0,64465.0,121.469221,31.280311
6363.0,56388.0,121.542781,31.301681
6363.0,56387.0,121.542781,31.301681
6151.0,23171.0,121.317581,31.210511
6165.0,37747.0,121.347945,31.107625
6147.0,8498.0,121.219223,31.065056
6165.0,37745.0,121.347945,31.107625
6147.0,9825.0,121.232231,31.060431
6147.0,8691.0,121.233835,31.054546
6147.0,9745.0,121.233231,31.044861
6148.0,97.0,121.18127,31.054105
6147.0,8387.0,121.24035,31.04488
6147.0,8434.0,121.24976,31.069331
6147.0,8433.0,121.24976,31.069331
6181.0,34083.0,121.217116,31.227844
6181.0,34082.0,121.217116,31.227844
6181.0,34081.0,121.217116,31.227844
6179.0,4577.0,121.345318,31.184153
6179.0,4579.0,121.345318,31.184153
6179.0,4578.0,121.345318,31.184153
6168.0,22129.0,121.277381,31.262141
6322.0,58850.0,121.458216,31.319971
6322.0,58865.0,121.458216,31.319971
6322.0,58849.0,121.458216,31.319971
6322.0,58866.0,121.458216,31.319971
6187.0,26451.0,121.159558,31.165051
6187.0,26449.0,121.159558,31.165051
6187.0,26450.0,121.159558,31.165051
6215.0,18305.0,121.281091,31.211701
6339.0,44097.0,121.645511,31.228331
6243.0,56225.0,121.463221,31.196141
6231.0,52610.0,121.406451,31.233951
6156.0,45553.0,121.264433,30.965541
6156.0,45555.0,121.264433,30.965541
6156.0,45729.0,121.28226,30.9621
6146.0,54210.0,121.32143,31.01606
6156.0,47169.0,,
6146.0,54211.0,121.32143,31.01606
6146.0,54209.0,121.32143,31.01606
6156.0,45538.0,121.29123,30.98212
6156.0,45779.0,121.26885,30.99373
6156.0,47137.0,121.317661,31.009621
6146.0,12882.0,121.300973,31.046754
