,time,predict-Long,predict-Lat,real-Long,real-Lat,ServingBase-Long,ServingBase-Lat
0,52272,121.447083826,31.1969070205,121.448195,31.19626167,121.446515,31.199551
1,52273,121.447244726,31.196777013,121.448195,31.19626167,121.446515,31.199551
2,52273,121.447354452,31.1966183218,121.448195,31.19626167,121.446515,31.199551
3,52300,121.447616084,31.1964057374,121.4477933,31.19642833,121.446515,31.199551
4,52300,121.447611567,31.196416019,121.4477933,31.19642833,121.446515,31.199551
5,52301,121.447623743,31.1965270887,121.4477933,31.19642833,121.446515,31.199551
6,52301,121.447577336,31.1965944571,121.4477767,31.19643167,121.446515,31.199551
7,52302,121.447584311,31.1965173176,121.4477633,31.19643833,121.446515,31.199551
8,52303,121.447651699,31.196344972,121.4477633,31.19643833,121.446515,31.199551
9,52303,121.447601522,31.1965814569,121.4477483,31.19644167,121.446515,31.199551
10,52304,121.447617869,31.1965494488,121.4477483,31.19644167,121.446515,31.199551
11,52304,121.447521061,31.1966779596,121.4477317,31.19644,121.446515,31.199551
12,52305,121.447683132,31.1964508299,121.4477317,31.19644,121.446515,31.199551
13,52305,121.447549244,31.1966397757,121.447715,31.19643667,121.446515,31.199551
14,52306,121.44759738,31.1965588881,121.447715,31.19643667,121.446515,31.199551
15,52306,121.447543307,31.1966526429,121.447715,31.19643667,121.446515,31.199551
16,52307,121.447567918,31.196644838,121.4477,31.19643333,121.446515,31.199551
17,52307,121.447621115,31.1965771263,121.4476833,31.19643,121.446515,31.199551
18,52308,121.447113096,31.1969641214,121.4476833,31.19643,121.446515,31.199551
19,52309,121.446141222,31.1953852096,121.4476517,31.19642167,121.445424,31.194791
20,52310,121.445742075,31.1952065546,121.4476517,31.19642167,121.445424,31.194791
21,52310,121.445706453,31.1951805011,121.4476367,31.19641833,121.445424,31.194791
22,52311,121.445647761,31.1951278696,121.4476367,31.19641833,121.445424,31.194791
23,52311,121.445604038,31.1950998396,121.4476367,31.19641833,121.445424,31.194791
24,52312,121.445791543,31.195167442,121.44762,31.196415,121.445424,31.194791
25,52312,121.445854848,31.1952150784,121.447605,31.19641333,121.445424,31.194791
26,52313,121.446228969,31.1954042562,121.447605,31.19641333,121.445424,31.194791
27,52313,121.446088583,31.1955172247,121.44759,31.19640833,121.445424,31.194791
28,52314,121.446201113,31.1954439216,121.44759,31.19640833,121.445424,31.194791
29,52314,121.446090941,31.1951407118,121.447575,31.19640667,121.445424,31.194791
30,52315,121.446598843,31.1954168142,121.447575,31.19640667,121.445424,31.194791
31,52315,121.446949763,31.1957689375,121.44756,31.19640333,121.445424,31.194791
32,52316,121.446589954,31.1958879715,121.44756,31.19640333,121.445424,31.194791
33,52316,121.446187076,31.1954278781,121.44756,31.19640333,121.445424,31.194791
34,52317,121.446213928,31.1954109948,121.447545,31.19639833,121.445424,31.194791
35,52317,121.446796974,31.195665653,121.4475283,31.19639333,121.445424,31.194791
36,52317,121.446679902,31.1955698348,121.4475283,31.19639333,121.445424,31.194791
