,time,predict-Long,predict-Lat,real-Long,real-Lat,ServingBase-Long,ServingBase-Lat
0,52272,121.447674277,31.1964055298,121.448195,31.19626167,121.446515,31.199551
1,52273,121.447674277,31.1964055298,121.448195,31.19626167,121.446515,31.199551
2,52273,121.447589266,31.1964391879,121.448195,31.19626167,121.446515,31.199551
3,52300,121.447538626,31.1964618672,121.4477933,31.19642833,121.446515,31.199551
4,52300,121.447477264,31.196492626,121.4477933,31.19642833,121.446515,31.199551
5,52301,121.447422248,31.1965281113,121.4477933,31.19642833,121.446515,31.199551
6,52301,121.44737061,31.1965627399,121.4477767,31.19643167,121.446515,31.199551
7,52302,121.44732572,31.1965932513,121.4477633,31.19643833,121.446515,31.199551
8,52303,121.447283397,31.1966234107,121.4477633,31.19643833,121.446515,31.199551
9,52303,121.447246937,31.1966428124,121.4477483,31.19644167,121.446515,31.199551
10,52304,121.447218943,31.1966423469,121.4477483,31.19644167,121.446515,31.199551
11,52304,121.44719296,31.1966286416,121.4477317,31.19644,121.446515,31.199551
12,52305,121.447166914,31.196599306,121.4477317,31.19644,121.446515,31.199551
13,52305,121.447145469,31.1965458435,121.447715,31.19643667,121.446515,31.199551
14,52306,121.447123428,31.1964765317,121.447715,31.19643667,121.446515,31.199551
15,52306,121.447093939,31.1963989359,121.447715,31.19643667,121.446515,31.199551
16,52307,121.447062769,31.1963109079,121.4477,31.19643333,121.446515,31.199551
17,52307,121.447032182,31.1962190927,121.4476833,31.19643,121.446515,31.199551
18,52308,121.446995405,31.1961323789,121.4476833,31.19643,121.446515,31.199551
19,52309,121.446956649,31.1960522768,121.4476517,31.19642167,121.445424,31.194791
20,52310,121.446925209,31.1959823776,121.4476517,31.19642167,121.445424,31.194791
21,52310,121.446897668,31.1959258269,121.4476367,31.19641833,121.445424,31.194791
22,52311,121.44687291,31.1958816863,121.4476367,31.19641833,121.445424,31.194791
23,52311,121.446859608,31.1958507936,121.4476367,31.19641833,121.445424,31.194791
24,52312,121.446856677,31.1958317823,121.44762,31.196415,121.445424,31.194791
25,52312,121.446857369,31.1958200361,121.447605,31.19641333,121.445424,31.194791
26,52313,121.446864027,31.1958143604,121.447605,31.19641333,121.445424,31.194791
27,52313,121.446876318,31.1958132124,121.44759,31.19640833,121.445424,31.194791
28,52314,121.446886994,31.1958121518,121.44759,31.19640833,121.445424,31.194791
29,52314,121.446894116,31.1958094548,121.447575,31.19640667,121.445424,31.194791
30,52315,121.446898105,31.1958050409,121.447575,31.19640667,121.445424,31.194791
31,52315,121.446896234,31.1957976311,121.44756,31.19640333,121.445424,31.194791
32,52316,121.446887545,31.1957867817,121.44756,31.19640333,121.445424,31.194791
33,52316,121.446873025,31.1957729812,121.44756,31.19640333,121.445424,31.194791
34,52317,121.446853799,31.1957570921,121.447545,31.19639833,121.445424,31.194791
35,52317,121.446831582,31.1957402506,121.4475283,31.19639333,121.445424,31.194791
36,52317,121.446807116,31.1957226788,121.4475283,31.19639333,121.445424,31.194791
37,52318,121.446781492,31.1957049105,121.447515,31.19638833,121.445424,31.194791
38,52318,121.446756852,31.1956882742,121.447515,31.19638833,121.445424,31.194791
39,52319,121.446733321,31.1956727287,121.4475033,31.196385,121.445424,31.194791
40,52319,121.446710595,31.1956579189,121.4475033,31.196385,121.445424,31.194791
41,52320,121.446689561,31.1956443696,121.44749,31.196375,121.445424,31.194791
42,52320,121.446669824,31.195631866,121.44749,31.196375,121.445424,31.194791
43,52321,121.446651149,31.1956201968,121.44749,31.196375,121.445424,31.194791
44,52321,121.446634241,31.195609688,121.44749,31.196375,121.445424,31.194791
45,52322,121.446618441,31.1955998992,121.4474783,31.19636333,121.445424,31.194791
46,52322,121.446604151,31.195591076,121.4474683,31.19635667,121.445424,31.194791
47,52323,121.446593076,31.1955841461,121.4474683,31.19635667,121.445424,31.194791
48,52323,121.446584537,31.1955785079,121.447455,31.19635167,121.445424,31.194791
49,52324,121.446578274,31.1955740203,121.447455,31.19635167,121.445424,31.194791
50,52324,121.44657613,31.1955718799,121.4474433,31.19634667,121.445424,31.194791
51,52325,121.44657756,31.1955715965,121.4474433,31.19634667,121.445424,31.194791
52,52325,121.446580896,31.1955721528,121.447435,31.19634167,121.445424,31.194791
53,52326,121.446586787,31.1955742386,121.447435,31.19634167,121.445424,31.194791
54,52326,121.446595134,31.1955778435,121.447435,31.19634167,121.445424,31.194791
55,52327,121.446603866,31.195581666,121.4474233,31.19633333,121.445424,31.194791
56,52327,121.446612153,31.1955854841,121.4474083,31.19632667,121.445424,31.194791
57,52328,121.446620222,31.1955896042,121.4474083,31.19632667,121.445424,31.194791
58,52328,121.446626888,31.1955932097,121.447395,31.19631667,121.445424,31.194791
59,52329,121.446630334,31.1955952581,121.447395,31.19631667,121.445424,31.194791
60,52329,121.446630227,31.1955956152,121.4473783,31.1963,121.445424,31.194791
61,52329,121.446626627,31.1955941778,121.4473783,31.1963,121.445424,31.194791
62,52330,121.446618164,31.1955900144,121.447365,31.19629333,121.445424,31.194791
63,52330,121.446604015,31.1955825561,121.447365,31.19629333,121.445424,31.194791
64,52331,121.446585368,31.1955723849,121.447365,31.19629333,121.445424,31.194791
65,52331,121.446563013,31.1955599063,121.4473533,31.19628667,121.445424,31.194791
66,52332,121.446537144,31.1955451634,121.4473417,31.196285,121.445424,31.194791
67,52332,121.446509693,31.195529208,121.4473417,31.196285,121.445424,31.194791
68,52333,121.446483206,31.195513601,121.4473417,31.196285,121.445424,31.194791
69,52333,121.446459156,31.1954992469,121.44733,31.196275,121.445424,31.194791
70,52334,121.446439127,31.195486986,121.44733,31.196275,121.445424,31.194791
71,52334,121.446424868,31.1954779129,121.4473167,31.19626333,121.445424,31.194791
72,52335,121.446417107,31.1954725767,121.4473167,31.19626333,121.445424,31.194791
73,52335,121.446415895,31.1954709053,121.447305,31.19625333,121.445424,31.194791
74,52336,121.446420769,31.1954726028,121.447305,31.19625333,121.445424,31.194791
75,52336,121.446430354,31.1954770224,121.447305,31.19625333,121.445424,31.194791
76,52337,121.446443165,31.1954832361,121.4472967,31.19624333,121.445424,31.194791
77,52337,121.446457908,31.1954903851,121.4472883,31.19623167,121.445424,31.194791
78,52338,121.446472628,31.195497486,121.4472883,31.19623167,121.445424,31.194791
79,52338,121.446485554,31.1955035437,121.44728,31.196225,121.445424,31.194791
80,52339,121.446496476,31.1955082939,121.44728,31.196225,121.445424,31.194791
81,52339,121.446505203,31.1955117382,121.4472717,31.19621833,121.445424,31.194791
82,52340,121.446510886,31.1955135243,121.4472717,31.19621833,121.445424,31.194791
83,52340,121.446514294,31.1955139692,121.447265,31.19620833,121.445424,31.194791
84,52341,121.446517004,31.1955139919,121.447265,31.19620833,121.445424,31.194791
