,time,predict-Long,predict-Lat,real-Long,real-Lat,ServingBase-Long,ServingBase-Lat
0,1440550941,120.862925038,32.4544119459,121.497448319,31.2613779046,121.496741727,31.2598383558
1,1440551003,121.490483749,31.2618918424,121.496323418,31.2620465592,121.494739167,31.2629256636
2,1440551024,121.490893984,31.2613327001,121.496076317,31.2621913599,121.494739167,31.2629256636
3,1440551032,121.491799744,31.2625791122,121.4959707,31.2622436979,121.494739167,31.2629256636
4,1440551085,121.492147305,31.2596510961,121.495036075,31.2625706267,121.494739167,31.2629256636
5,1440551145,121.489545253,31.2643094625,121.490925814,31.2641694834,121.492098646,31.2638939095
6,1440551149,121.489051422,31.2636253388,121.490957716,31.2643334598,121.492098646,31.2638939095
7,1440551168,121.490151353,31.2650147143,121.491268674,31.2649768199,121.491231909,31.2662074533
8,1440551172,121.488679106,31.2646758389,121.491343423,31.2651256634,121.491231909,31.2662074533
9,1440551174,121.489847395,31.2655642193,121.491381295,31.2651995835,121.491231909,31.2662074533
10,1440551177,121.489330901,31.2644767861,121.491438104,31.2653104635,121.491231909,31.2662074533
11,1440551193,121.489881465,31.264081285,121.49175902,31.2659027703,121.491231909,31.2662074533
12,1440551201,121.489681808,31.2642350687,121.491972292,31.2662072708,121.491231909,31.2662074533
13,1440551207,121.488882085,31.2644632274,121.492127757,31.2663948918,121.491231909,31.2662074533
14,1440551230,121.487918963,31.2642775248,121.492795445,31.2670491961,121.491231909,31.2662074533
15,1440551231,121.488388231,31.2659905419,121.492822352,31.2670751275,121.491231909,31.2662074533
16,1440551233,121.490331981,31.2675859403,121.492875169,31.2671249924,121.493912531,31.2677501816
17,1440551255,121.491649539,31.2666288025,121.49357573,31.2677451794,121.493912531,31.2677501816
18,1440551256,121.490353867,31.2663471094,121.493605626,31.2677731025,121.493912531,31.2677501816
19,1440551258,121.491162454,31.2671741146,121.493665418,31.2678279484,121.493912531,31.2677501816
20,1440551259,121.489877628,31.2686146102,121.49369631,31.2678548681,121.493912531,31.2677501816
21,1440551261,121.488970767,31.2705791183,121.493756102,31.2679107143,121.496214536,31.2705345003
22,1440551266,121.492371053,31.270083326,121.493818883,31.2679665516,121.496214536,31.2705345003
23,1440551314,121.49067671,31.2671483203,121.494217492,31.2683215178,121.493912531,31.2677501816
24,1440551317,121.490938643,31.2693555118,121.494242406,31.2683454538,121.493912531,31.2677501816
25,1440551375,121.488959649,31.2701295652,121.493851782,31.2681485311,121.493285144,31.2721739115
26,1440551381,121.490851224,31.2726391506,121.493645613,31.2692806227,121.493285144,31.2721739115
27,1440551384,121.490657792,31.2730212695,121.493281959,31.2698779538,121.493285144,31.2721739115
28,1440551385,121.490284991,31.2708876298,121.493281959,31.2698779538,121.493285144,31.2721739115
29,1440551388,121.489189519,31.2704514426,121.492914318,31.2704923024,121.493285144,31.2721739115
30,1440551398,121.489318605,31.2702534338,121.492660258,31.2709282381,121.493912531,31.2677501816
31,1440551458,121.489274907,31.2667775011,121.493447347,31.2696063486,121.493912531,31.2677501816
32,1440551459,121.488713367,31.2674128341,121.493447347,31.2696063486,121.493912531,31.2677501816
33,1440551462,121.493983714,31.2686507287,121.493447347,31.2696063486,121.493912531,31.2677501816
34,1440551520,121.489024728,31.2653336566,121.493447347,31.2696063486,121.493912531,31.2677501816
35,1440551532,121.491276638,31.266878116,121.493447347,31.2696063486,121.493912531,31.2677501816
36,1440551561,121.490692889,31.2637303198,121.493447347,31.2696063486,121.493912531,31.2677501816
37,1440551579,121.49133199,31.267060696,121.493572882,31.2693998889,121.493912531,31.2677501816
38,1440551580,121.491204855,31.266842044,121.493580853,31.2693858593,121.493912531,31.2677501816
39,1440551585,121.49026903,31.2668924784,121.493622698,31.2693167059,121.493912531,31.2677501816
40,1440551586,121.489707589,31.2668670479,121.493631665,31.2693036738,121.493912531,31.2677501816
41,1440551587,121.48829484,31.2665554097,121.493640632,31.2692896413,121.491231909,31.2662074533
42,1440551596,121.488980421,31.2658576074,121.493981369,31.2687263911,121.493912531,31.2677501816
43,1440551623,121.49159918,31.2668518978,121.49287618,31.2673030651,121.493912531,31.2677501816
44,1440551639,121.491657721,31.2663635074,121.492519421,31.267004994,121.493912531,31.2677501816
45,1440551647,121.49148559,31.2665995599,121.492413788,31.2669152681,121.493912531,31.2677501816
46,1440551666,121.490746395,31.2640010309,121.492154686,31.2666789332,121.491231909,31.2662074533
47,1440551687,121.489248192,31.2621680777,121.491922488,31.2664345146,121.491231909,31.2662074533
48,1440551688,121.487768188,31.2629697966,121.491910529,31.2664215444,121.491231909,31.2662074533
49,1440551690,121.489394603,31.2632536763,121.491888604,31.2663975989,121.492098646,31.2638939095
50,1440551702,121.489301699,31.2631370851,121.491747091,31.2662349471,121.492098646,31.2638939095
51,1440551706,121.489889225,31.2629924989,121.491702245,31.2661770546,121.492098646,31.2638939095
52,1440551926,121.489446906,31.2581449476,121.485131318,31.2565089951,121.483587469,31.2551548015
53,1440551935,121.484721013,31.2569714524,121.484847312,31.256763918,121.483587469,31.2551548015
54,1440551945,121.485031153,31.2570923016,121.484597136,31.2563974725,121.483587469,31.2551548015
55,1440551986,121.485668732,31.2561264467,121.484075791,31.2549583291,121.483587469,31.2551548015
56,1440551987,121.490655701,31.2537435155,121.4840429,31.2549254082,121.483587469,31.2551548015
57,1440552711,121.511493463,31.2230559953,121.519094128,31.201023373,121.517691257,31.2028493764
58,1440552773,121.525060395,31.2148246834,121.532879762,31.1978600006,121.529898641,31.1982022631
59,1440552877,121.531278888,31.2197502472,121.559877952,31.2038170213,121.557588278,31.2030989632
60,1440552920,121.533275319,31.226407442,121.563618674,31.2040325587,121.557588278,31.2030989632
61,1440552963,121.532496677,31.2374840291,121.573699835,31.207104206,121.57256813,31.2118889465
62,1440553493,121.537567095,31.2329370123,121.58520999,31.1925745939,121.583720869,31.1954291567
63,1440553550,121.532056932,31.2355935629,121.585171045,31.1927387038,121.583720869,31.1954291567
64,1440553552,121.526787181,31.2366079183,121.585155068,31.1928107513,121.583720869,31.1954291567
65,1440553610,121.532699908,31.2321893649,121.584877469,31.1940505706,121.583720869,31.1954291567
66,1440553620,121.530831321,31.2312117199,121.584787599,31.1944498353,121.583720869,31.1954291567
67,1440553632,121.532242717,31.2285829358,121.584790638,31.1949560816,121.583720869,31.1954291567
68,1440553637,121.537128724,31.2365561647,121.585137272,31.195046864,121.583720869,31.1954291567
69,1440553640,121.536604743,31.2366391587,121.585371029,31.1951157241,121.583720869,31.1954291567
70,1440553656,121.535922327,31.231906378,121.58614924,31.1953302689,121.583720869,31.1954291567
71,1440553807,121.539908528,31.2345790932,121.589460384,31.1980635276,121.588686071,31.1982770736
72,1440553920,121.535455198,31.2390966535,121.588846316,31.2029392465,121.587817394,31.2047307341
73,1440553923,121.532643544,31.2411673188,121.588824349,31.2031153445,121.587817394,31.2047307341
74,1440553925,121.532681656,31.240068777,121.588808373,31.2032324105,121.587817394,31.2047307341
75,1440553926,121.528675866,31.2410506675,121.588801384,31.2032904426,121.587817394,31.2047307341
76,1440554041,121.54040195,31.2418516198,121.588043546,31.2090936913,121.588207478,31.210093069
77,1440554161,121.549426264,31.2406913537,121.587802871,31.2103364357,121.588207478,31.210093069
78,1440554281,121.554451556,31.2404615199,121.587250524,31.2119135421,121.588207478,31.210093069
79,1440554522,121.551632177,31.2470197922,121.57026238,31.2261837957,121.570902154,31.2253175033
80,1440554731,121.537584718,31.2435910435,121.567948683,31.2257809725,121.563247133,31.2240286794
81,1440554831,121.527411065,31.2366597487,121.562458284,31.2293144801,121.56125194,31.22913451
82,1440554882,121.541791116,31.2344828201,121.561049391,31.2290868485,121.559595589,31.2276468172
83,1440554890,121.539199147,31.2391617652,121.560714136,31.2289493851,121.559595589,31.2276468172
84,1440554914,121.543710754,31.2370497037,121.55950786,31.2284593545,121.559595589,31.2276468172
85,1440554915,121.542583122,31.2372566608,121.559426047,31.2284264903,121.559595589,31.2276468172
86,1440554919,121.542625608,31.2365944963,121.5591417,31.2283119641,121.559595589,31.2276468172
87,1440554922,121.542300681,31.2363494088,121.559018983,31.2282621693,121.559595589,31.2276468172
88,1440554951,121.533799754,31.2380378126,121.555786686,31.2272159043,121.549800222,31.2267562182
89,1440554976,121.534284915,31.2346652056,121.553736802,31.2265817559,121.549800222,31.2267562182
90,1440554984,121.533353091,31.2336856407,121.552751324,31.2262766614,121.549800222,31.2267562182
91,1440554998,121.536309768,31.2350949946,121.550375562,31.2255453977,121.549800222,31.2267562182
92,1440555028,121.534424759,31.2326104334,121.550665563,31.2229345514,121.555096158,31.2242238939
93,1440555032,121.52865554,31.2291185852,121.551702819,31.2231964438,121.550657695,31.2242631881
94,1440555099,121.527017802,31.2319737132,121.550849074,31.2229821764,121.550657695,31.2242631881
95,1440555187,121.536876954,31.2263453718,121.549389993,31.222585181,121.549380914,31.2213446207
96,1440555194,121.536170867,31.2255439568,121.548887362,31.2224522345,121.54542198,31.2206333002
97,1440555256,121.531854783,31.2222692563,121.544702903,31.2187350991,121.54542198,31.2206333002
98,1440555266,121.532724027,31.2183504432,121.543722669,31.2175348641,121.54542198,31.2206333002
99,1440555287,121.533645003,31.2164993761,121.54085025,31.2174498193,121.543896093,31.216735072
100,1440555375,121.528170109,31.2191946885,121.540611206,31.2201756953,121.542989208,31.2219797156
101,1440555386,121.529373423,31.219504251,121.540825577,31.2204522933,121.542989208,31.2219797156
102,1440555434,121.532170301,31.2171238872,121.541019015,31.2207479532,121.542989208,31.2219797156
103,1440555442,121.531672298,31.217124422,121.541050922,31.2207968973,121.542989208,31.2219797156
104,1440555452,121.532624261,31.2198447382,121.541089809,31.2208578298,121.542989208,31.2219797156
105,1440555460,121.52995714,31.2250350659,121.54112072,31.2209067764,121.535153482,31.2226097956
106,1440555495,121.524105006,31.2281725574,121.538430036,31.2215368176,121.535153482,31.2226097956
107,1440555496,121.524906594,31.2268297227,121.538291465,31.2215141597,121.535153482,31.2226097956
108,1440555497,121.524410968,31.2276031746,121.538291465,31.2215141597,121.535153482,31.2226097956
109,1440555500,121.53270524,31.2261336018,121.537960517,31.2217321065,121.535153482,31.2226097956
110,1440555501,121.523048659,31.2275493161,121.53792264,31.2217892301,121.535153482,31.2226097956
111,1440555523,121.533879988,31.2266422548,121.536650765,31.2232501871,121.535153482,31.2226097956
